smithbo01,Bobby Smith,1960-1962,0,,,
wanzebo01,Bobby Wanzer,1949-1957,0,,,
washibo01,Bobby Washington,1970-1972,0,,,
watsobo01,Bobby Watson,1955,0,,,
wilsobo03,Bobby Wilson,1975-1978,0,,,
wilsobo02,Bobby Wilson,1968,0,,,
bogdabo01,Bogdan Bogdanovic,2018,1,,,
bogdabo02,Bojan Bogdanovic,2015-2018,1,,,
dubljbo01,Bojan Dubljevic,-,0,,,
mckinbo01,Bones McKinney,1947-1952,0,,,
ndongbo01,Boniface N'Dong,2006,0,,,
wellsbo01,Bonzi Wells,1999-2008,0,,,
ellisbo01,Boo Ellis,1959-1960,0,,,
woodfbo01,Booker Woodfox,-,0,,,
diawbo01,Boris Diaw,2004-2017,0,,,
nachabo01,Boris Nachamkin,1955,0,,,
nachbbo01,Bostjan Nachbar,2003-2008,0,,,
wrighbr02,Bracey Wright,2006-2007,0,,,
bransbr01,Brad Branson,1982-1983,0,,,
daughbr01,Brad Daugherty,1987-1994,0,,,
davisbr01,Brad Davis,1978-1992,0,,,
hollabr01,Brad Holland,1980-1982,0,,,
lohaubr01,Brad Lohaus,1988-1998,0,,,
millebr01,Brad Miller,1999-2012,0,,,
newlebr01,Brad Newley,-,0,,,
sellebr01,Brad Sellers,1987-1993,0,,,
wanambr01,Brad Wanamaker,-,0,,,
wrighbr01,Brad Wright,1987-1988,0,,,
bealbr01,Bradley Beal,2013-2018,1,,,
heslibr01,Brady Heslip,-,0,,,
walkebr01,Brady Walker,1949-1952,0,,,
wrighbr03,Brandan Wright,2008-2018,1,,,
